nct_id,project_num,fiscal_year,award_amount_usd,administering_ic,recipient_org,contact_pi,project_title
NCT03081559,5R01MH106373-05,2019,505770.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Improving engagement in HIV care for high-risk women
NCT03081559,5R01MH106373-04,2018,781066.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Improving engagement in HIV care for high-risk women
NCT03081559,5R01MH106373-03,2017,788397.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Improving engagement in HIV care for high-risk women
NCT03081559,5R01MH106373-02,2016,935579.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Improving engagement in HIV care for high-risk women
NCT03081559,1R01MH106373-01A1,2015,955346.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Improving engagement in HIV care for high-risk women
NCT02703116,5R01DA041071-05,2019,591169.0,National Institute on Drug Abuse,,"GAROFALO, ROBERT ",Employing eSBI in a Community-based HIV Testing Environment for At-risk Youth
NCT02703116,5R01DA041071-04,2018,635235.0,National Institute on Drug Abuse,,"GAROFALO, ROBERT ",Employing eSBI in a Community-based HIV Testing Environment for At-risk Youth
NCT02703116,5R01DA041071-03,2017,642151.0,National Institute on Drug Abuse,,"GAROFALO, ROBERT ",Employing eSBI in a Community-based HIV Testing Environment for At-risk Youth
NCT02703116,5R01DA041071-02,2016,696567.0,National Institute on Drug Abuse,,"GAROFALO, ROBERT ",Employing eSBI in a Community-based HIV Testing Environment for At-risk Youth
NCT02703116,1R01DA041071-01,2015,640810.0,National Institute on Drug Abuse,,"GAROFALO, ROBERT ",Employing eSBI in a Community-based HIV Testing Environment for At-risk Youth
NCT07681908,5R01NR020846-03,2026,643745.0,National Institute of Nursing Research,,"YBARRA, MICHELE L.",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys
NCT07681908,5R01NR020846-02,2024,620288.0,National Institute of Nursing Research,,"YBARRA, MICHELE L.",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys
NCT07681908,1R01NR020846-01A1,2023,698736.0,National Institute of Nursing Research,,"YBARRA, MICHELE L.",#TranscendentHealth - Adapting an LGB+ inclusive teen pregnancy prevention program for transgender boys
NCT06656676,5R34MH136932-03,2026,222197.0,National Institute of Mental Health,,"RAEL, CHRISTINE TAGLIAFERRI",WePrEP: A bilingual shared decision-making tool to facilitate conversations between transgender women and their providers as they select an ideal PrEP method
NCT06656676,5R34MH136932-02,2025,258461.0,National Institute of Mental Health,,"RAEL, CHRISTINE TAGLIAFERRI",WePrEP: Facilitating personal autonomy in HIV prevention through shared decision-making about PrEP for women in the US
NCT06656676,1R34MH136932-01,2024,198625.0,National Institute of Mental Health,,"RAEL, CHRISTINE TAGLIAFERRI",WePrEP: A bilingual shared decision-making tool to facilitate conversations between transgender women and their providers as they select an ideal PrEP method
NCT04077138,5R01MH114753-05,2022,565163.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT04077138,3R01MH114753-05S1,2022,58540.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT04077138,5R01MH114753-04,2021,610860.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT04077138,3R01MH114753-04S1,2021,132996.0,National Institute of Mental Health,,"HOSEK, SYBIL ",Implement TransPrEP
NCT04077138,5R01MH114753-03,2020,638352.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT04077138,5R01MH114753-02,2019,627560.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT04077138,1R01MH114753-01,2018,665381.0,National Institute of Mental Health,,"HOSEK, SYBIL ","Transgender Youth and PrEP: PK, Safety, Uptake & Adherence"
NCT05934877,5R01DA056888-04,2025,901066.0,National Institute on Drug Abuse,,"REBACK, CATHY J",Optimizing PrEP Implementation and Cost-effectiveness among Individuals with a Substance Use Disorder
NCT05934877,5R01DA056888-03,2024,912089.0,National Institute on Drug Abuse,,"REBACK, CATHY J",Optimizing PrEP Implementation and Cost-effectiveness among Sexual and Gender Minority Individuals with a Substance Use Disorder
NCT05934877,5R01DA056888-02,2023,908730.0,National Institute on Drug Abuse,,"REBACK, CATHY J",Optimizing PrEP Implementation and Cost-effectiveness among Sexual and Gender Minority Individuals with a Substance Use Disorder
NCT05934877,1R01DA056888-01,2022,594260.0,National Institute on Drug Abuse,,"REBACK, CATHY J",Optimizing PrEP Implementation and Cost-effectiveness among Sexual and Gender Minority Individuals with a Substance Use Disorder
NCT02921841,5R44MH102140-05,2017,599993.0,National Institute of Mental Health,,"ADAMS LARSEN, MARGO ",Digital Star: HIV Prevention for Youth in Mental Health Treatment
NCT02921841,5R44MH102140-04,2016,599703.0,National Institute of Mental Health,,"ADAMS LARSEN, MARGO ",Digital Star: HIV Prevention for Youth in Mental Health Treatment
NCT02921841,4R44MH102140-03,2015,599075.0,National Institute of Mental Health,,"ADAMS LARSEN, MARGO ",Digital Star: HIV Prevention for Youth in Mental Health Treatment
NCT02921841,5R44MH102140-02,2014,344426.0,National Institute of Mental Health,,"MCDANIEL, DAWN ",Digital Star: HIV Prevention for Youth in Mental Health Treatment
NCT02921841,1R44MH102140-01,2013,349960.0,National Institute of Mental Health,,"MCDANIEL, DAWN ",Digital Star: HIV Prevention for Youth in Mental Health Treatment
NCT02744040,1R01DA040532-01,2015,1073128.0,National Institute on Drug Abuse,,"DUERR, ANN C",Modulating the Impact of Critical Events in Early HIV Infection:  Effect of Early ART Initiation and Alcohol Use
NCT06880705,5R00DA055508-05,2026,249000.0,National Institute on Drug Abuse,,"GUY, ARRYN ALEIA",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women
NCT06880705,5R00DA055508-04,2025,248999.0,National Institute on Drug Abuse,,"GUY, ARRYN ALEIA",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women
NCT06880705,4R00DA055508-03,2024,249000.0,National Institute on Drug Abuse,,"GUY, ARRYN ALEIA",A Gender-Affirming Stigma Intervention to Improve Substance Misuse and HIV Risk among Transgender Women
NCT02710032,5R34MH104072-03,2016,141615.0,National Institute of Mental Health,,"CLARK, JESSE LAWTON",TransPrEP: Social Network-Based PrEP Adherence for Transgender Women in Peru
NCT02710032,5R34MH104072-02,2015,279572.0,National Institute of Mental Health,,"CLARK, JESSE LAWTON",TransPrEP: Social Network-Based PrEP Adherence for Transgender Women in Peru
NCT02710032,1R34MH104072-01,2014,251173.0,National Institute of Mental Health,,"CLARK, JESSE LAWTON",TransPrEP: Social Network-Based PrEP Adherence for Transgender Women in Peru
NCT04114955,5R01MH121308-05,2023,653173.0,National Institute of Mental Health,,"LIPPMAN, SHERI ANN",Reducing Intersectional Stigma among High-Risk Women in Brazil to Promote Uptake of HIV Testing and PrEP
NCT04114955,5R01MH121308-04,2022,674562.0,National Institute of Mental Health,,"LIPPMAN, SHERI ANN",Reducing Intersectional Stigma among High-Risk Women in Brazil to Promote Uptake of HIV Testing and PrEP
NCT04114955,5R01MH121308-03,2021,844524.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Reducing Intersectional Stigma among High-Risk Women in Brazil to Promote Uptake of HIV Testing and PrEP
NCT04114955,5R01MH121308-02,2020,670468.0,National Institute of Mental Health,,"SEVELIUS, JAE M.",Reducing Intersectional Stigma among High-Risk Women in Brazil to Promote Uptake of HIV Testing and PrEP
