nct_id,has_linked_nih_grant,nih_award_count,total_nih_funding_usd,administering_nih_ics,recipient_institutions,funding_fiscal_years
NCT03664817,False,0,0.0,,,
NCT04563715,False,0,0.0,,,
NCT04781426,False,0,0.0,,,
NCT04386499,False,0,0.0,,,
NCT06229132,False,0,0.0,,,
NCT00111501,False,0,0.0,,,
NCT03086200,False,0,0.0,,,
NCT04551144,False,0,0.0,,,
NCT06709872,False,0,0.0,,,
NCT03989778,False,0,0.0,,,
NCT03397368,False,0,0.0,,,
NCT05693324,False,0,0.0,,,
NCT06644261,False,0,0.0,,,
NCT06847035,False,0,0.0,,,
NCT04428320,False,0,0.0,,,
NCT03310515,False,0,0.0,,,
NCT03525379,False,0,0.0,,,
NCT07012096,False,0,0.0,,,
NCT03313310,False,0,0.0,,,
NCT05163860,False,0,0.0,,,
NCT04742491,False,0,0.0,,,
NCT03081559,True,5,3966158.0,National Institute of Mental Health,,"2015, 2016, 2017, 2018, 2019"
NCT05951062,False,0,0.0,,,
NCT04969003,False,0,0.0,,,
NCT05689281,False,0,0.0,,,
NCT05787470,False,0,0.0,,,
NCT03725280,False,0,0.0,,,
NCT07412509,False,0,0.0,,,
NCT04709016,False,0,0.0,,,
NCT07780630,False,0,0.0,,,
NCT06987045,False,0,0.0,,,
NCT07512856,False,0,0.0,,,
NCT03165500,False,0,0.0,,,
NCT05981807,False,0,0.0,,,
NCT02986126,False,0,0.0,,,
NCT04081584,False,0,0.0,,,
NCT07187947,False,0,0.0,,,
NCT02703116,True,5,3205932.0,National Institute on Drug Abuse,,"2015, 2016, 2017, 2018, 2019"
NCT07500415,False,0,0.0,,,
NCT07681908,True,3,1962769.0,National Institute of Nursing Research,,"2023, 2024, 2026"
NCT06953908,False,0,0.0,,,
NCT04867798,False,0,0.0,,,
NCT03778892,False,0,0.0,,,
NCT04064047,False,0,0.0,,,
NCT05436106,False,0,0.0,,,
NCT02185274,False,0,0.0,,,
NCT07407686,False,0,0.0,,,
NCT04538170,False,0,0.0,,,
NCT06144294,False,0,0.0,,,
NCT04491422,False,0,0.0,,,
NCT03996941,False,0,0.0,,,
NCT06656676,True,3,679283.0,National Institute of Mental Health,,"2024, 2025, 2026"
NCT04077138,True,7,3298852.0,National Institute of Mental Health,,"2018, 2019, 2020, 2021, 2022"
NCT07214233,False,0,0.0,,,
NCT03617874,False,0,0.0,,,
NCT04799197,False,0,0.0,,,
NCT06005610,False,0,0.0,,,
NCT07166627,False,0,0.0,,,
NCT06727942,False,0,0.0,,,
NCT03584282,False,0,0.0,,,
NCT06550960,False,0,0.0,,,
NCT04792788,False,0,0.0,,,
NCT06116370,False,0,0.0,,,
NCT02429674,False,0,0.0,,,
NCT05696938,False,0,0.0,,,
NCT04515654,False,0,0.0,,,
NCT03326739,False,0,0.0,,,
NCT03489707,False,0,0.0,,,
NCT07400419,False,0,0.0,,,
NCT01633567,False,0,0.0,,,
NCT03649087,False,0,0.0,,,
NCT05323695,False,0,0.0,,,
NCT03546075,False,0,0.0,,,
NCT05903911,False,0,0.0,,,
NCT02410434,False,0,0.0,,,
NCT07646470,False,0,0.0,,,
NCT07033572,False,0,0.0,,,
NCT05934877,True,4,3316145.0,National Institute on Drug Abuse,,"2022, 2023, 2024, 2025"
NCT06291675,False,0,0.0,,,
NCT03811756,False,0,0.0,,,
NCT05584787,False,0,0.0,,,
NCT01270516,False,0,0.0,,,
NCT05187806,False,0,0.0,,,
NCT06367764,False,0,0.0,,,
NCT02921841,True,5,2493157.0,National Institute of Mental Health,,"2013, 2014, 2015, 2016, 2017"
NCT00236262,False,0,0.0,,,
NCT06621342,False,0,0.0,,,
NCT04290286,False,0,0.0,,,
NCT03803683,False,0,0.0,,,
NCT06614868,False,0,0.0,,,
NCT06725797,False,0,0.0,,,
NCT02449850,False,0,0.0,,,
NCT07457970,False,0,0.0,,,
NCT02309619,False,0,0.0,,,
NCT04256902,False,0,0.0,,,
NCT04064671,False,0,0.0,,,
NCT04813484,False,0,0.0,,,
NCT03671239,False,0,0.0,,,
NCT05770115,False,0,0.0,,,
NCT04590417,False,0,0.0,,,
NCT06844097,False,0,0.0,,,
NCT05829928,False,0,0.0,,,
NCT02119377,False,0,0.0,,,
NCT03220152,False,0,0.0,,,
NCT03784404,False,0,0.0,,,
NCT04781049,False,0,0.0,,,
NCT03457233,False,0,0.0,,,
NCT06774053,False,0,0.0,,,
NCT04280445,False,0,0.0,,,
NCT06098781,False,0,0.0,,,
NCT03320512,False,0,0.0,,,
NCT01944995,False,0,0.0,,,
NCT06502353,False,0,0.0,,,
NCT03745495,False,0,0.0,,,
NCT04558177,False,0,0.0,,,
NCT06470906,False,0,0.0,,,
NCT05659199,False,0,0.0,,,
NCT06959992,False,0,0.0,,,
NCT06405984,False,0,0.0,,,
NCT05883111,False,0,0.0,,,
NCT05534763,False,0,0.0,,,
NCT04899193,False,0,0.0,,,
NCT05949814,False,0,0.0,,,
NCT03916484,False,0,0.0,,,
NCT02739074,False,0,0.0,,,
NCT03399006,False,0,0.0,,,
NCT04378439,False,0,0.0,,,
NCT02550431,False,0,0.0,,,
NCT05922670,False,0,0.0,,,
NCT05649605,False,0,0.0,,,
NCT04100252,False,0,0.0,,,
NCT06515834,False,0,0.0,,,
NCT05870098,False,0,0.0,,,
NCT06487806,False,0,0.0,,,
NCT02875535,False,0,0.0,,,
NCT07516691,False,0,0.0,,,
NCT05971160,False,0,0.0,,,
NCT07194226,False,0,0.0,,,
NCT05599178,False,0,0.0,,,
NCT02744040,True,1,1073128.0,National Institute on Drug Abuse,,2015
NCT04988412,False,0,0.0,,,
