Characteristic,Count / Value,Percentage (%)
Total TGD-Related Studies (N),"2,632",100.0%
Study First Posted Span,2002 - 2026,-
--- Capture Mechanism ---,,
Formal Metadata Capture (MeSH / genderBased / Keywords),"1,935",73.52%
Informal-Only Capture (Hidden in Free-Text),692,26.29%
Dual Formal & Informal Capture,404,15.35%
--- Funding & Sponsorship ---,,
NIH / Federal Funding,39,1.48%
Industry Sponsored / Supported,360,13.68%
--- Study Type ---,,
Interventional Clinical Trials,"1,892",71.88%
Observational Studies,740,28.12%
--- Results Reporting ---,,
Studies with Posted Results,300,11.4%
