lead_sponsor_name,lead_sponsor_class,total_studies,interventional_studies,observational_studies,first_year,latest_year,cohort_share_pct
Cairo University,OTHER,41,27,14,2017,2026,1.56
Riphah International University,OTHER,34,31,3,2018,2026,1.29
Assiut University,OTHER,27,10,17,2017,2026,1.03
"University of Colorado, Denver",OTHER,24,11,13,2011,2025,0.91
"University of California, San Francisco",OTHER,20,18,2,2005,2025,0.76
Ain Shams University,OTHER,20,15,5,2019,2026,0.76
"University of California, Los Angeles",OTHER,19,18,1,2012,2026,0.72
"University of California, San Diego",OTHER,19,18,1,2010,2025,0.72
Wake Forest University Health Sciences,OTHER,18,18,0,2015,2025,0.68
"University of North Carolina, Chapel Hill",OTHER,17,13,4,2009,2024,0.65
"University Hospital, Ghent",OTHER,17,8,9,2005,2026,0.65
Yale University,OTHER,17,17,0,2018,2025,0.65
Emory University,OTHER,17,13,4,2014,2026,0.65
VA Office of Research and Development,FED,16,14,2,2013,2026,0.61
Sohag University,OTHER,15,3,12,2021,2025,0.57
Johns Hopkins University,OTHER,15,15,0,2015,2024,0.57
Assistance Publique - Hôpitaux de Paris,OTHER,14,6,8,2005,2026,0.53
Hospices Civils de Lyon,OTHER,14,4,10,2017,2025,0.53
"Central Hospital, Nancy, France",OTHER,13,1,12,2018,2024,0.49
University of Michigan,OTHER,13,13,0,2015,2024,0.49
Thai Red Cross AIDS Research Centre,OTHER,13,5,8,2013,2022,0.49
University of Washington,OTHER,13,12,1,2017,2024,0.49
Columbia University,OTHER,13,12,1,2017,2024,0.49
Northwestern University,OTHER,12,11,1,2014,2026,0.46
GlaxoSmithKline,INDUSTRY,12,10,2,2007,2026,0.46
